=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 104 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00004T0UM | Datensatz: B00004T0UM
ERROR | Datei: leipzig_transformed.xml | Zeile: 104 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00006J9RM | Datensatz: B00006J9RM
ERROR | Datei: leipzig_transformed.xml | Zeile: 104 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0001J0BC2 | Datensatz: B0001J0BC2
ERROR | Datei: leipzig_transformed.xml | Zeile: 105 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0009VX4TE | Datensatz: B0009VX4TE
ERROR | Datei: leipzig_transformed.xml | Zeile: 105 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000AGL1DE | Datensatz: B000AGL1DE
ERROR | Datei: leipzig_transformed.xml | Zeile: 105 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B9UHRG | Datensatz: B000B9UHRG
ERROR | Datei: leipzig_transformed.xml | Zeile: 108 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002Q054S | Datensatz: B0002Q054S
ERROR | Datei: leipzig_transformed.xml | Zeile: 109 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B0000E6YQY | Datensatz: B0000E6YQY
ERROR | Datei: leipzig_transformed.xml | Zeile: 109 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00007B6WD | Datensatz: B00007B6WD
ERROR | Datei: leipzig_transformed.xml | Zeile: 109 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000VB2E2 | Datensatz: B0000VB2E2
ERROR | Datei: leipzig_transformed.xml | Zeile: 112 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007KVDF4 | Datensatz: B0007KVDF4
